Name,Team,Role,Batting Style,Bowling Style
Aakash Chopra,India,Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Aaliyah Alleyne,West Indies,Bowler,Right hand Bat,Right arm Medium
Aaliyah Williams,West Indies,Allrounder,Right hand Bat,Right arm Medium
Aamer Jamal,Pakistan,Allrounder,Right hand Bat,Right arm Medium
Aamer Malik,Pakistan,Wicketkeeper Batter,Right hand Bat,Right arm Fast medium
Aamer Sohail,Pakistan,Batter,Left hand Bat,Slow Left arm Orthodox
Aamer Yamin,Pakistan,Allrounder,Right hand Bat,Right arm Medium
Aaqib Javed,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Aaron Beard,England,Bowler,Left hand Bat,Right arm Fast medium
Aaron Bird,Australia,Bowler,Right hand Bat,Right arm Fast
Aaron Cawley,Ireland,Bowler,Right hand Bat,Right arm Fast medium
Aaron Finch,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox
Aaron Hardie,Australia,Allrounder,Right hand Bat,Right arm Medium fast
Aaron Phangiso,South Africa,Bowler,Right hand Bat,Slow Left arm Orthodox
Aaron Redmond,New Zealand,Top order Batter,Right hand Bat,Legbreak
Aaron Thomason,England,Allrounder,Right hand Bat,Right arm Fast medium
Aavishkar Salvi,India,Bowler,Right hand Bat,Right arm Medium
AB de Villiers,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Abbas Afridi,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Abdul Bangalzai,Pakistan,Batter,Right hand Bat,
Abdul Malik,Afghanistan,Opening Batter,Right hand Bat,Right arm Offbreak
Abdul Qadir,Pakistan,Bowler,Right hand Bat,Legbreak Googly
Abdul Rahman,Afghanistan,Bowler,Right hand Bat,Right arm Medium fast
Abdul Razzaq,Pakistan,Allrounder,Right hand Bat,Right arm Fast medium
Abdul Wasi,Afghanistan,Allrounder,Right hand Bat,Legbreak
Abdullah Al Mamun,Bangladesh,Allrounder,Left hand Bat,Right arm Medium
Abdullah Mazari,Afghanistan,Bowler,Left hand Bat,Slow Left arm Orthodox
Abdullah Shafique,Pakistan,Top order Batter,Right hand Bat,Right arm Offbreak
Abdur Rauf,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Abdur Razzak,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Abdur Rehman,Pakistan,Bowler,Left hand Bat,Slow Left arm Orthodox
Abey Kuruvilla,India,Bowler,Right hand Bat,Right arm Fast medium
Abhimanyu Lamba,India,Bowler,Right hand Bat,Right arm Medium
Abhimanyu Mithun,India,Bowler,Right hand Bat,Right arm Medium
Abhinav Mukund,India,Top order Batter,Left hand Bat,Legbreak Googly
Abhishek Goswami,India,Opening Batter,Right hand Bat,Right arm Offbreak
Abhishek Nayar,India,Allrounder,Left hand Bat,Right arm Medium
Abhishek Sharma,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Abid Ali,Pakistan,Opening Batter,Right hand Bat,Legbreak
Abid Mohammadi,Afghanistan,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
Abidullah Taniwal,Afghanistan,Bowling Allrounder,Left hand Bat,Left arm Medium
Abrar Ahmed,Pakistan,Bowler,Right hand Bat,Legbreak Googly
Abu Hider,Bangladesh,Bowler,Right hand Bat,Left arm Fast medium
Abu Jayed,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Abu Nechim,India,Bowler,Right hand Bat,Right arm Medium fast
Abu Sayem,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Abul Hasan,Bangladesh,Bowler,Left hand Bat,Right arm Medium fast
Achille Cloete,South Africa,Bowler,Right hand Bat,Right arm Fast
Achini Kulasuriya,Sri Lanka,Bowler,Left hand Bat,Right arm Fast medium
Ackeem Auguste,West Indies,Top order Batter,Left hand Bat,Legbreak
Adam Bacher,South Africa,Opening Batter,Right hand Bat,Right arm Medium
Adam Crosthwaite,Australia,Middle order Batter,Right hand Bat,Legbreak Googly
Adam Dale,Australia,Bowler,Left hand Bat,Right arm Fast medium
Adam Finch,England,Bowler,Right hand Bat,Right arm Fast medium
Adam Gilchrist,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Adam Hollioake,England,Allrounder,Right hand Bat,Right arm Medium
Adam Huckle,Zimbabwe,Bowler,Right hand Bat,Legbreak Googly
Adam Lyth,England,Batter,Left hand Bat,Right arm Offbreak
Adam Milne,New Zealand,Bowler,Right hand Bat,Right arm Fast
Adam Parore,New Zealand,Wicketkeeper Batter,Right hand Bat,
Adam Rossington,England,Wicketkeeper Batter,Right hand Bat,
Adam Voges,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox
Adam Wheater,England,Wicketkeeper Batter,Right hand Bat,
Adam Zampa,Australia,Bowler,Right hand Bat,Legbreak Googly
Adeesha Nanayakkara,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium fast
Adil Rashid,England,Bowler,Right hand Bat,Legbreak
Adnan Akmal,Pakistan,Wicketkeeper Batter,Right hand Bat,
Adrian Barath,West Indies,Opening Batter,Right hand Bat,Right arm Offbreak
Afif Hossain,Bangladesh,Allrounder,Left hand Bat,Right arm Offbreak
Afsar Zazai,Afghanistan,Wicketkeeper Batter,Right hand Bat,
Aftab Ahmed,Bangladesh,Opening Batter,Right hand Bat,Right arm Medium
Aftab Alam,Afghanistan,Bowler,Right hand Bat,Right arm Medium fast
Aftab Habib,England,Top order Batter,Right hand Bat,Right arm Medium fast
Afy Fletcher,West Indies,Bowler,Right hand Bat,Legbreak
Agha Salman,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Ahmed Shah,Afghanistan,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Ahmed Shehzad,Pakistan,Opening Batter,Right hand Bat,Legbreak
Ahrar Amin,Bangladesh,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
Ahsan Ali,Pakistan,Top order Batter,Right hand Bat,Legbreak
Aiden Markram,South Africa,Opening Batter,Right hand Bat,Right arm Offbreak
Aiman Anwer,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Ainsley Ndlovu,Zimbabwe,Bowler,Right hand Bat,Slow Left arm Orthodox
Aizaz Cheema,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Ajantha Mendis,Sri Lanka,Bowler,Right hand Bat,Right arm Offbreak
Ajay Jadeja,India,Middle order Batter,Right hand Bat,Right arm Medium
Ajay Sharma,India,Middle order Batter,Right hand Bat,Slow Left arm Orthodox
Ajaz Patel,New Zealand,Bowler,Left hand Bat,Slow Left arm Orthodox
Ajinkya Rahane,India,Top order Batter,Right hand Bat,Right arm Medium
Ajit Agarkar,India,Bowler,Right hand Bat,Right arm Fast
Ajit Wadekar,India,Top order Batter,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox"
Ajmal Shahzad,England,Bowler,Right hand Bat,Right arm Fast medium
Akalanka Ganegama,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium
Akash Singh,India,Bowler,Right hand Bat,Left arm Medium fast
Akbar Ali,Bangladesh,Batter,Right hand Bat,
Akeal Hosein,West Indies,Bowler,Left hand Bat,Slow Left arm Orthodox
Akhil Herwadkar,India,Opening Batter,Left hand Bat,Right arm Offbreak
Akhona Mnyaka,South Africa,Bowler,Right hand Bat,Left arm Fast
Akila Dananjaya,Sri Lanka,Allrounder,Left hand Bat,"Right arm Offbreak, Legbreak"
Akram Khan,Bangladesh,Middle order Batter,Right hand Bat,Right arm Medium
Akram Raza,Pakistan,Bowler,Right hand Bat,Right arm Offbreak
Akshath Reddy,India,Opening Batter,Right hand Bat,Legbreak
Akshdeep Nath,India,Middle order Batter,Right hand Bat,Right arm Medium fast
Al-Amin Hossain,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Al Sahariar,Bangladesh,Top order Batter,Right hand Bat,Legbreak
Alan Connolly,Australia,Bowler,Right hand Bat,Right arm Fast medium
Alan Davidson,Australia,Allrounder,Left hand Bat,Left arm Fast medium
Alan Knott,England,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Alan Mullally,England,Bowler,Right hand Bat,Left arm Fast medium
Alan Wells,England,Middle order Batter,Right hand Bat,Right arm Medium
Alana King,Australia,Allrounder,Right hand Bat,Legbreak
Alastair Cook,England,Opening Batter,Left hand Bat,Right arm Slow
Albert van der Merwe,Ireland,Bowler,Right hand Bat,Right arm Offbreak
Albie Morkel,South Africa,Bowling Allrounder,Left hand Bat,Right arm Medium fast
Alcindo Holder,West Indies,Batter,Right hand Bat,Right arm Offbreak
Alec Stewart,England,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Alex Blackwell,Australia,Allrounder,Right hand Bat,Right arm Medium
Alex Blake,England,Middle order Batter,Left hand Bat,Right arm Medium fast
Alex Carey,Australia,Wicketkeeper Batter,Left hand Bat,
Alex Cusack,Ireland,Bowler,Right hand Bat,Right arm Medium fast
Alex Davies,England,Wicketkeeper Batter,Right hand Bat,
Alex Doolan,Australia,Top order Batter,Right hand Bat,
Alex Hales,England,Opening Batter,Right hand Bat,Right arm Medium
